id,name,type,start_date,distance_km,moving_time,moving_time_hms,avg_speed_kmh,kilojoules,map_summary_polyline,NM_UF,NM_MUN
17099309406,Morning Walk,Walk,2026-01-18 12:14:41,3.0606999999999998,2359,0:39:19,4.6692,0.0,zjcNrejaHSJIH@PYXCJCdA@|CEbB?d@CbAIn@_AzBS`@Sh@k@fAEZKDENEbBAtCE|@E|GElAC~BCb@?fBIvF?z@An@CTCjEIdCB|AFDRD|EQnA@jFAhIOlKGr@?jBGrA?nAE\Bv@C\@~CE,Pará,Ipixuna do Pará
17099309345,Morning Walk,Walk,2026-01-18 11:14:58,3.0648,1984,0:33:04,5.562,0.0,r|dNlvlaHaCBcB?gJPiLDcADaAAgFJqDByACkAD}ABaAFSAAK?gBHmCTqSLsHDoHF}DF_AAI`@e@hAeCz@wBJc@FeD@eBCs@HcG,Pará,Ipixuna do Pará
17085817318,Evening Run,Run,2026-01-17 21:02:53,4.034800000000001,1488,0:24:48,9.763200000000001,435.9,zzdNrvlaHuIJeDFwIHwE?uGLyF@gEH}CNeB@}DP_NNgBGgAI}@Ea@GeACq@FwA\m@JoAFdAErCg@v@Ip@@hFZpC@jGGjBExCQt@At@@fIY`AGP@jB?bLKzA@d@E`HCV@DAf@AZBzCKfCAzFK,Pará,Ipixuna do Pará
17085465101,Afternoon Run,Run,2026-01-17 20:43:34,3.5961999999999996,424,0:07:04,30.5352,89.7,|h_Nz}laHtK[xEI`FQzFElDMnFGbH@dPSxAIzBc@~@In@?|EZ|ABtA?xIKjESnEKdGW`CB`DAnFI~A@n^_@,Pará,Ipixuna do Pará
17085065063,Afternoon Run,Run,2026-01-17 17:55:36,0.9835,732,0:12:12,4.8384,0.0,,,
17085065052,Afternoon Weight Training,WeightTraining,2026-01-17 17:16:26,0.0,2321,0:38:41,0.0,0.0,,,
17085065049,Afternoon Run,Run,2026-01-17 17:01:20,1.1721,727,0:12:07,5.8032,0.0,,,
17085065079,Afternoon Run,Run,2026-01-16 20:10:47,9.2119,5375,1:29:35,6.1704,0.0,,,
17063430579,Evening Run,Run,2026-01-15 21:18:49,4.0595,1854,0:30:54,7.884,385.0,tloKlpeaHkA@m@GqEoAuAe@OCC@BFLFnBl@jBf@VDFACCIEqF{AOA@DXJzErA`ATb@FzEE~IMDKkDJkFHmD@UEy@S}FcBGACB@BFFzCx@`Cn@~@LZ@zNSVADEIC_@@aLPqB@YE{A]_F{AIAABBD\NtA\\LnCt@|@LrMMn@Et@AZQOHJEDAACF?OLO@YACF@Cn@ANDFHb@nC@NEJSFyAN{BNiCH,Pará,Mãe do Rio
17063430458,Afternoon Weight Training,WeightTraining,2026-01-15 20:19:44,0.0,1979,0:32:59,0.0,0.0,,,
17063430529,Afternoon Run,Run,2026-01-15 20:06:50,1.1255,619,0:10:19,6.5448,0.0,,,
17052304436,Evening Run,Run,2026-01-14 21:46:12,5.011699999999999,1959,0:32:39,9.2088,556.6,vloKjpeaHkABm@EuF}AqAUKDGJa@tACPDHDDbBx@tDnBn@Xd@FrDB`GUn@?tAShBQJE@Kg@wCCEKEk@C}ADcMLg@EgCq@_AOyBo@GAGDMTa@xA?FHLtCvApC|Av@Tn@BhD@lDMtAKX@xDa@PG@I[gBIu@EIIC_@AiGLiHFg@IcBc@uAYcBc@e@KI@Wr@Uz@?FBJjHvDt@T^DfD@dAE~@CfBKXEpBIjAOn@EDABEAOKe@WmBQSsMRCDBBR@dDI`DAxBIHBFJTrA,Pará,Mãe do Rio
17052304207,Evening Walk,Walk,2026-01-14 21:39:05,0.4853,375,0:06:15,4.6584,0.0,l~oKbweaH,,
17052304055,Afternoon Weight Training,WeightTraining,2026-01-14 20:44:13,0.0,2474,0:41:14,0.0,0.0,,,
17052304196,Afternoon Run,Run,2026-01-14 20:30:40,1.1439000000000001,616,0:10:16,6.6852,0.0,,,
17040910451,Evening Walk,Walk,2026-01-13 22:07:29,1.383,1192,0:19:52,4.176,0.0,`voKlpeaHpDGHA@EGCYAmEHsHJc@A]GeBe@kEoAGBBH^NnGbBp@JxAA,Pará,Mãe do Rio
17040910453,Evening Run,Run,2026-01-13 21:40:30,4.0071,1586,0:26:26,9.0972,447.6,vloKlpeaHwA@k@IsEoA[G_@C]MQ@URgDjKcAlD]z@]r@_EnL[x@YjAg@nAy@jCsHpTGRAFBBBC^qAVq@h@kBlC{HRy@pCeI|AgEPo@d@qAbAeDN_@d@y@VcAhDwKn@iBZcAP[LGH@rCx@f@FGEOCBFFBfAZf@Pz@Ll@?bAEf@@tAAnAGtBC`B?^ADC@CIC]AgBF,Pará,Mãe do Rio
17040910262,Evening Walk,Walk,2026-01-13 21:31:17,0.4244,314,0:05:14,4.8672,0.0,,,
17040910270,Afternoon Run,Run,2026-01-13 16:52:31,0.7705,491,0:08:11,5.6484,0.0,,,
17040910267,Afternoon Weight Training,WeightTraining,2026-01-13 16:09:45,0.0,2541,0:42:21,0.0,0.0,,,
17040910296,Afternoon Run,Run,2026-01-13 16:01:53,0.5578,318,0:05:18,6.3144,0.0,,,
17040910114,Evening Weight Training,WeightTraining,2026-01-12 21:40:07,0.0,2481,0:41:21,0.0,0.0,,,
